Item Number,Price,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition
85264981001,303.68,Chunghwa,Quad Core,14.0 in,Gray,8.0 GB,"1 Used,  1 support Max 1TB M.2 Extend",Intel Iris Plus Graphics 655,Max up to 3.80 GHz,Notebook/Laptop,2160 x 1440,CoreBook X,Windows 11 Home,512 GB SSD,SSD (Solid State Drive),"Backlit Keyboard,  Built-in Microphone,  Built-in Webcam","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264981002,399.99,Dell,Intel Core i7 8th Gen.,14.0 in,Black,nan GB,Unknown,Intel UHD Graphics 620,4.20 GHz (1.90 GHz Base Frequency),Notebook/Laptop,1920 x 1080,Dell Latitude 7490,Windows 11 Pro,2 TB,SSD (Solid State Drive),"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi","Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264981003,175,Dell,Intel Core i5-6300U,14.0 in,Black,16.0 GB,500 GB,Intel HD Graphics,2.40 GHz,Notebook/Laptop,1920 x 1080,Dell Latitude E5470,Windows 10 Pro,500 GB,SSD (Solid State Drive),"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Wi-Fi","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264981004,84.99,HP,Intel Celeron N,11.6 in,Black,4.0 GB,Unknown,Intel HD Graphics 500,2.40 GHz,Notebook/Laptop,1366 x 768,HP Chromebook 11 G6,Chrome OS,16 GB,eMMC,"Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi","Good - RefurbishedThe item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264981011,138,Lenovo,"8350U,  Core i5",14.0 in,Black,16.0 GB,128 GB,Intel UHD Graphics 620,1.70 GHz,Notebook/Laptop,1920 x 1080,Lenovo T480,Windows 11 Pro,Unknown,SSD (Solid State Drive),"Built-in Microphone,  Built-in Webcam","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264981014,151.99,Chunghwa,Intel Celeron Processor N4100,14.1 in,Gray,8.0 GB,256 GB,"Intel UHD Graphics 600, 650MHz",2.80 GHz,Notebook/Laptop,1920 x 1080,CHUWI Lapbook Pro,Windows 11 Home,256 GB,SSD (Solid State Drive),Wi-Fi,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264981015,243.99,Chunghwa,Intel Core i5-8259U,14.0 in,Gray,8.0 GB,512 GB,Intel Iris Plus Graphics 655,3.80 GHz,Notebook/Laptop,2160 x 1440,CHUWI CoreBook X,Windows 10,512 GB,HDD + SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Wi-Fi","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264981017,218,Dell,Intel Core i5 8th Gen.,15.6 in,Black,16.0 GB,512 GB,Intel HD Graphics 620,1.60 GHz,Notebook/Laptop,1920 x 1080,Dell Latitude E5500,Not Included,Unknown,SSD (Solid State Drive),"Backlit Keyboard, Bluetooth, Built-in Webcam, Touchscreen, Wi-Fi","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264981018,129.99,Dell,Intel Celeron,11.0 in,Black,4.0 GB,128 GB,Intel UHD Graphics 600,1.10 GHz,Notebook/Laptop,1366 x 768,Dell Latitude 3189,Windows 10 Pro,128 GB,SSD (Solid State Drive),"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264981019,39.99,Acer,Intel Celeron N,11.6 in,Gray,4.0 GB,16 GB,Intel HD Graphics,1.60 GHz,Notebook/Laptop,1366 x 768,Acer Chromebook C731,Chrome OS,16 GB,SSD (Solid State Drive),"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264981020,392.99,Dell,Intel Core i7 8th Gen.,14.0 in,Black,nan GB,Unknown,Intel UHD Graphics 620,4.20 GHz (1.90 GHz Base Frequency),Notebook/Laptop,1920 x 1080,Dell Latitude 7400,Windows 11 Pro,2 TB,SSD (Solid State Drive),"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Widescreen Display, Wi-Fi","Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264981023,199.99,Dell,Intel Core i5 6th Gen.,12.5 in,Black,8.0 GB,256 GB,Intel HD Graphics,2.60 GHz,Notebook/Laptop,1920 x 1080,Dell Latitude 5289,Windows 10,256 GB,SSD (Solid State Drive),"Bluetooth,  Built-in Microphone,  Built-in Webcam","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264981025,299.99,HP,i5-8365U,13.0 in,Silver,16.0 GB,512 GB,Intel UHD 620 1024 MB,1.60 GHz,Notebook/Laptop,3000 x 2000,HP Elite X2 G4,FreeDOS,Unknown,SSD (Solid State Drive),"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264981028,439,HP,Intel Core i5-1135G7,15.6 in,Natural Silver,32.0 GB,Up to 2TB,Intel Iris Xe Graphics,Up to 4.2GHz,Notebook/Laptop,1920 x 1080,HP 15 Essential,Windows 11 Home,Up to 2TB,SSD (Solid State Drive),"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi, USB 3.2, Ethernet, Media card reader, USB-C","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264981030,344.99,Dell,Intel Core i5 7th Gen.,15.6 in,Black,16.0 GB,512 GB,Intel HD Graphics 620,3.10 GHz (2.50 GHz Base Frequnecy),Notebook/Laptop,1920 x 1080,Dell Latitude 5580,Windows 10 Pro,512 GB,SSD (Solid State Drive),"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi","Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264981031,241.99,Chunghwa,Quad Core,15.6 in,Gray,16.0 GB,512 GB,Intel UHD Graphics,up to 3.4Ghz,Notebook/Laptop,1920 x 1080,GemiBook Plus,Windows 11 Home,512 GB,SSD (Solid State Drive),"Built-in Microphone,  Built-in Webcam,  Bluetooth,  Wi-Fi","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264981032,419.99,HP,Intel Core i7 8th Gen.,14.0 in,Black,nan GB,Unknown,Intel UHD Graphics 620,4.20 GHz (1.90 GHz Base Frequency),Notebook/Laptop,1920 x 1080,HP EliteBook 840 G6,Windows 11 Pro,2 TB,SSD (Solid State Drive),"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi","Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264981035,149.99,Chunghwa,Intel Celeron N4100,14.1 in,Gray,8.0 GB,256 GB,Intel UHD Graphics 600,up to 2.8GHZ,Notebook/Laptop,1920 x 1080,CHUWI LapBook Pro,Windows 11 Home,256 GB,SSD (Solid State Drive),"Bluetooth, Backlit Keyboard, Built-in Microphone, Built-in Webcam, Wi-Fi","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264981039,152.5,Dell,Intel Core i5-4200U,14.0 in,Black,8.0 GB,256 GB,Intel HD Graphics 4400,1.60 GHz,Notebook/Laptop,1366 x 768,Dell Latitude E5440,Windows 10 Home,Unknown,SSD (Solid State Drive),"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  Wi-Fi,  Anti-glare HD LED Display,  WLED Backlight","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264981040,269.49,Chunghwa,Intel Celeron N5100,13.5 in,Gray,12.0 GB,512 GB,Intel® UHD Graphics,2.80 GHz,Notebook/Laptop,2256 x 1504,CHUWI FreeBook,Windows 10 Home,12 GB,SSD (Solid State Drive),"Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264981042,489,Dell,AMD Ryzen 5,15.6 in,Carbon Black,16.0 GB,512 GB,AMD Radeon Graphics,Up to 4.5GHz,Notebook/Laptop,1920 x 1080,Dell Inspiron 15 3535,Windows 11 Home,512 GB,SSD (Solid State Drive),"Bluetooth, Wi-Fi, MaxxAudio Pro, Media Card Reader, Wi-Fi 5, USB-C 3.2","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264981048,84.99,HP,Intel Celeron,11.6 in,Multicolor,4.0 GB,16 GB,Intel HD Graphics 500,2.4,Notebook/Laptop,1366 x 768,Chromebook 11 G6 EE,Chrome OS,16 GB,eMMC,"Bluetooth,  Built-in Webcam,  Wi-Fi,  Built-in Microphone","Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264981050,69.99,HP,Intel Celeron N,11.6 in,Black,4.0 GB,16 GB,Intel HD Graphics,1.6 GHz,Chromebook,1366 x 768,Samsung ChromeBook,Chrome OS,16 GB,eMMC,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi,  Widescreen Display","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264981052,129.95,Dell,Intel Core i7 6th Gen.,12.5 in,Black,8.0 GB,256 GB,Intel® HD Graphics 520,2.60 GHz,Notebook/Laptop,1920 x 1080,Dell Latitude E7270,Windows 10 Pro,256 GB,SSD (Solid State Drive),"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264981056,199.99,Dell,i5-7300HQ,15.6 in,Black,8.0 GB,256 GB,NVIDIA GeForce GTX 1050 Ti,2.5GHz,Notebook/Laptop,1920 x 1080,Dell Inspiron 15 7000,Windows 10 Home,Unknown,SSD (Solid State Drive),"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264981061,599,Lenovo,Intel Core i5-1135G7,15.6 in,Arctic Gray,20.0 GB,1 TB,Intel Iris Xe Graphics,Up to 4.20GHz,Notebook/Laptop,1920 x 1080,Lenovo Ideapad 3i,Windows 11 Home,1 TB,SSD (Solid State Drive),"5G,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Touchscreen,  Wi-Fi,  Dual Speakers","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264981066,289.99,HP,Intel Core i5 8th Gen.,14.0 in,Silver,32.0 GB,500 GB,Intel UHD Graphics 620,2.60 GHz,Notebook/Laptop,1920 x 1080,Hp Elitlebook G5,Windows 11 Pro,500 GB,SSD (Solid State Drive),Wi-Fi,"Very Good - Refurbished: The item shows minimal wear and is backed by a one year warranty. It is ...  Read moreabout the conditionVery Good - Refurbished: The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264981069,409,Microsoft,Intel Core i5 11th Gen.,12.3 in,Silver,8.0 GB,256 GB,Intel Iris Xe Graphics,2.40 GHz,Convertible 2-in-1 Laptop/Tablet,2736 x 1824,Microsoft Surface Pro 7,Windows 10 Pro,Unknown,SSD (Solid State Drive),"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi","Open boxAn item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. See all condition definitionsopens in a new window or tab"
85264981070,200,Dell,Intel Core i5 6th Gen.,14.0 in,Black,8.0 GB,256 GB,Intel HD Graphics,2.40 GHz,Notebook/Laptop,1920 x 1080,Dell Latitude Rugged 5414,Windows 10 Pro,256 GB,SSD (Solid State Drive),"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Rugged, Touchscreen, Wi-Fi","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264981072,225,SGIN,Intel Celeron,15.6 in,Silver,12.0 GB,512 GB,AMD Radeon Graphics,2.80 GHz,Notebook/Laptop,1920 x 1200,X15,Windows 11 Home,12 GB,SSD (Solid State Drive),"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
